Section,Table/Figure,Title,Period,Country,Age_group,Breakdown/Measure,Data_type,Value,Value_Denominator,Value_Numerator
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,19-25,53 < HbA1c <= 58,Percentage,7.6,9765,745
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,19-25,58 < HbA1c <= 70,Percentage,11.9,9765,1160
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,19-25,70 < HbA1c <= 86,Percentage,10.8,9765,1050
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,19-25,HbA1c > 86,Percentage,16,9765,1560
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,19-25,HbA1c unknown,Percentage,19.4,9765,1895
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,19-25,Total,Percentage,100,9765,9765
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,26-39,HbA1c <= 48,Percentage,23.2,127495,29535
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,26-39,48 < HbA1c <= 53,Percentage,12.6,127495,16090
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,26-39,53 < HbA1c <= 58,Percentage,9.3,127495,11870
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,26-39,58 < HbA1c <= 70,Percentage,14.1,127495,18000
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,26-39,70 < HbA1c <= 86,Percentage,11.8,127495,15070
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,26-39,HbA1c > 86,Percentage,13.6,127495,17315
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,26-39,HbA1c unknown,Percentage,15.4,127495,19615
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,26-39,Total,Percentage,100,127495,127495
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,40-59,HbA1c <= 48,Percentage,21.7,1037410,224970
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,40-59,48 < HbA1c <= 53,Percentage,14.8,1037410,153375
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,40-59,53 < HbA1c <= 58,Percentage,11.4,1037410,118050
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,40-59,58 < HbA1c <= 70,Percentage,16.8,1037410,174065
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,40-59,70 < HbA1c <= 86,Percentage,12.2,1037410,126200
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,40-59,HbA1c > 86,Percentage,10.9,1037410,112840
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,40-59,HbA1c unknown,Percentage,12.3,1037410,127900
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,40-59,Total,Percentage,100,1037410,1037410
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,60-79,HbA1c <= 48,Percentage,28.2,1732005,488495
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,60-79,48 < HbA1c <= 53,Percentage,18.1,1732005,313095
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,60-79,53 < HbA1c <= 58,Percentage,13.1,1732005,227200
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,60-79,58 < HbA1c <= 70,Percentage,17.1,1732005,296075
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,60-79,70 < HbA1c <= 86,Percentage,9.2,1732005,160045
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,60-79,HbA1c > 86,Percentage,5.5,1732005,95955
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,60-79,HbA1c unknown,Percentage,8.7,1732005,151135
Care processes and treatment targets,Figure 12,HbA1c levels in people with type 2 diabetes by age group,2021-22,England and Wales,60-79,Total,Percentage,100,1732005,1732005
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Sex: Male,Odds ratio,1,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Sex: Female,Odds ratio,1.44,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: Most deprived,Odds ratio,0.8,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: 2nd most deprived,Odds ratio,0.84,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: 3rd most deprived,Odds ratio,0.89,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: 2nd least deprived,Odds ratio,0.97,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: Least deprived,Odds ratio,1,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: Unknown,Odds ratio,0.66,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Asian,Odds ratio,1.23,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Black,Odds ratio,1.17,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Mixed,Odds ratio,1.2,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: White,Odds ratio,1,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Other,Odds ratio,1.21,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Not known/Not stated,Odds ratio,0.98,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Diabetes duration: Less than 2 years,Odds ratio,1,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Diabetes duration: 2 - 9 years,Odds ratio,0.6,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Diabetes duration: 10 years and over,Odds ratio,0.31,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Diabetes duration: Unknown,Odds ratio,0.79,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Underweight,Odds ratio,0.84,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Healthy weight,Odds ratio,1,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Overweight,Odds ratio,0.99,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Obese,Odds ratio,0.88,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Unknown/missing,Odds ratio,0.87,,
